planet_name,star_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,st_teff,pl_insol,habitability_score,habitable
HAT-P-61 b,HAT-P-61,10.07687365,335.9446262,1.90231289,1505.0,5587.0,849.5,0.0,0
HAT-P-62 b,HAT-P-62,12.02723629,241.86741773,2.6453235,1512.0,5629.0,867.2,0.0,0
HAT-P-63 b,HAT-P-63,12.5428494,195.1466419,3.377728,1237.0,5400.0,387.4,0.0,0
HAT-P-64 b,HAT-P-64,19.08889413,184.34047606,4.007232,1766.0,6457.0,1611.0,0.0,0
HAT-P-65 b,HAT-P-65,18.05766791,176.07693748,2.60544751,1818.0,5872.0,1821.0,0.0,0
HAT-P-68 b,HAT-P-68,12.016048,230.10892,2.29840551,1027.8,4508.0,184.8,0.0,0
HAT-P-9 b,HAT-P-9,15.614137,238.05467,3.92281072,1540.0,6350.0,931.0,0.0,0
HATS-17 b,HATS-17,8.709393,425.25654,16.254611,814.0,5846.0,72.7,0.0,0
HATS-18 b,HATS-18,14.986433,629.3034,0.8378434,2060.0,5600.0,2990.0,0.0,0
HATS-29 b,HATS-29,13.46198582,206.58846455,4.6058827,1230.0,5769.0,356.0,0.0,0
HATS-36 b,HATS-36,13.843115,1022.14128,4.1752387,1356.0,6149.0,561.0,0.0,0
HATS-37 A b,HATS-37 A,6.792654,31.46517,4.3315366,1085.0,5326.0,229.7,0.0,0
HATS-38 b,HATS-38,6.882326,23.51942,4.375021,1294.0,5732.0,464.7,0.0,0
HATS-47 b,HATS-47,12.520453,117.27927,3.9228038,852.9,4512.0,87.73,0.0,0
HATS-48 A b,HATS-48 A,8.9672,77.23269,3.1316666,954.6,4546.0,137.6,0.0,0
HATS-49 b,HATS-49,8.574885,112.19399,4.1480467,834.8,4405.0,80.45,0.0,0
HATS-59 b,HATS-59,12.621334,256.17098,5.416081,1128.0,5670.0,269.0,0.0,0
HATS-60 b,HATS-60,12.923977,210.40346,3.560829,1528.0,5688.0,903.9,0.0,0
HATS-61 b,HATS-61,13.394755,1080.622,7.817953,1226.1,5542.0,374.2,0.0,0
HATS-62 b,HATS-62,11.825495,56.89157,3.2768837,1237.0,5416.0,387.4,0.0,0
HATS-63 b,HATS-63,13.529263,305.1168,3.0566527,1398.3,5627.0,634.1,0.0,0
HATS-64 b,HATS-64,18.819911,305.1168,4.908897,1793.0,6554.0,1711.0,0.0,0
HATS-65 b,HATS-65,16.824709,260.93843,3.105161,1634.0,6277.0,1178.0,0.0,0
HATS-66 b,HATS-66,15.815899,1694.0339,3.1414391,1998.0,6626.0,2637.0,0.0,0
HATS-67 b,HATS-67,18.887165,460.8535,1.6091788,2193.0,6594.0,3821.0,0.0,0
HATS-68 b,HATS-68,13.809488,410.0007,3.5862202,1741.0,6147.0,1521.0,0.0,0
HATS-69 b,HATS-69,10.592505,183.38791,2.2252577,1295.7,5137.0,466.6,0.0,0
HATS-70 b,HATS-70,15.513256,4100.007,1.8882378,2730.0,7930.0,9110.0,0.0,0
HATS-72 b,HATS-72,8.0973816,39.855882,7.3279474,739.3,4656.1,49.58,0.0,0
HATS-74 A b,HATS-74 A,11.56766808,464.02947422,1.73185606,895.1,3776.9,106.9,0.0,0
HATS-75 b,HATS-75,9.90873894,156.05374784,2.7886556,772.3,3790.4,59.26,0.0,0
HATS-76 b,HATS-76,12.09449018,835.570882,1.9416423,939.8,4016.0,129.8,0.0,0
HATS-77 b,HATS-77,13.05846252,436.69623122,3.0876262,828.3,4071.0,78.37,0.0,0
HD 106315 b,HD 106315,2.4,10.5,9.55288,1040.0,6364.0,277.0,0.0,0
HD 106315 c,HD 106315,4.379,12.0,21.05652,799.0,6364.0,97.0,0.0,0
HD 110113 b,HD 110113,2.05,4.55,2.541,1371.0,5732.0,735.49,0.0,0
HD 118203 b,HD 118203,12.73340208,688.41632956,6.134985,1494.0,5683.0,755.3,0.0,0
HD 118203 b,HD 118203,12.06086323,725.28442477,6.1349847,1360.0,5872.0,593.4,0.0,0
HD 135694 b,HD 135694,2.51,5.7,15.92346,815.0,5710.0,73.7,0.0,0
HD 136352 b,HD 136352,1.664,4.72,11.57797,905.0,5664.0,111.6,0.0,0
HD 136352 b,HD 136352,1.482,4.62,11.57779,911.0,5850.0,114.0,0.0,0
HD 136352 c,HD 136352,2.916,11.24,27.59221,677.0,5664.0,35.1,0.0,0
HD 136352 c,HD 136352,2.608,11.29,27.5909,682.0,5850.0,36.0,0.0,0
HD 136352 d,HD 136352,2.562,8.82,107.245,431.0,5664.0,5.74,0.35249851306642876,0
HD 1397 b,HD 1397,11.500434,131.89945,11.53533,1228.3,5521.0,356.0,0.0,0
HD 17156 b,HD 17156,12.26262489,1036.12060682,21.2164294,888.0,6046.0,68.8,0.0,0
HD 183579 b,HD 183579,3.55,19.7,17.471278,769.0,5788.0,58.1,0.0,0
HD 18599 b,HD 18599,2.7,25.5,4.137437,863.0,5083.0,145.0,0.0,0
HD 189733 b,HD 189733,12.542871,370.58978,2.218577,1209.0,5050.0,356.0,0.0,0
HD 191939 b,HD 191939,3.41,10.0,8.8803256,880.0,5348.0,100.0,0.0,0
HD 191939 c,HD 191939,3.195,8.0,28.579743,600.0,5348.0,21.0,0.09806338028169018,0
HD 191939 d,HD 191939,2.995,2.8,38.353037,540.0,5348.0,14.3,0.25730980205103743,0
HD 202772 A b,HD 202772 A,17.317905,323.23311,3.308958,2132.0,6272.0,3440.0,0.0,0
HD 20329 b,HD 20329,1.72,7.42,0.926118,2141.0,5596.0,3474.0,0.0,0
